url,Source,Authors(Temp),filename,Date,Title,institutional author,translators,tags,page_type
https://www.mekomit.co.il/האם-שנת-אחדות-ירושלים-עליה-הכריז-בנט-ת/,LocalCall,אלמה ביבלש,www_mekomit_co_il_d794d790d79d-d7a9d7a0d7aa-d790d797d793d795d7aa-d799d7a8d795d7a9d79cd799d79d-d7a2d7.html,2016-2-23,"שנת אחדות ירושלים"" עליה הכריז בנט עומדת להיתקל בחומת ההפרדה - שיחה מקומית",,,,
https://www.mekomit.co.il/תניחו-לשיער-של-נתניהו/,LocalCall,איתי אקנין,www_mekomit_co_il_d7aad7a0d799d797d795-d79cd7a9d799d7a2d7a8-d7a9d79c-d7a0d7aad7a0d799d794d795_.html,2016-10-24,תניחו כבר לשיער של ביבי - שיחה מקומית,,,,
https://www.mekomit.co.il/תוכנית-שורשים-של-השר-קיש-לא-תוכנית-ולא/,LocalCall,גיל גרטל,www_mekomit_co_il_d7aad795d79bd7a0d799d7aa-d7a9d795d7a8d7a9d799d79d-d7a9d79c-d794d7a9d7a8-d7a7d799d7.html,2025-11-27,תוכנית שורשים של השר קיש: לא תוכנית ולא חינוך - שיחה מקומית,,,,
https://www.mekomit.co.il/לבנון-פליטים-מסוריה/,LocalCall,אן פאק,www_mekomit_co_il_d79cd791d7a0d795d79f-d7a4d79cd799d798d799d79d-d79ed7a1d795d7a8d799d794_.html,2016-6-12,עמך עמי: מאבק ההישרדות של פליטים פלסטינים מסוריה בלבנון - שיחה מקומית,,,,
https://www.mekomit.co.il/קרנבל-בובות-נגד-הכיבוש-בבית-גאלה-הסתיי/,LocalCall,מיה אפשטיין,www_mekomit_co_il_d7a7d7a8d7a0d791d79c-d791d795d791d795d7aa-d7a0d792d793-d794d79bd799d791d795d7a9-d7.html,2014-5-26,קרנבל בובות נגד הכיבוש בבית ג'אלה הסתיים במעצר - שיחה מקומית,,,,
https://www.mekomit.co.il/פוליטיקה-מזרחית-בין-שמרנות-ריאקציה-וש/,LocalCall,מאיר עמור,www_mekomit_co_il_d7a4d795d79cd799d798d799d7a7d794-d79ed796d7a8d797d799d7aa-d791d799d79f-d7a9d79ed7a.html,2015-10-21,"על פרשת דרכים: פוליטיקה מזרחית בין שמרנות, ריאקציה ושחרור  - שיחה מקומית",,,,
https://www.mekomit.co.il/סוף-הזמן-הצהוב/,LocalCall,אלעד לפידות,www_mekomit_co_il_d7a1d795d7a3-d794d796d79ed79f-d794d7a6d794d795d791_.html,2024-2-8,סוף הזמן הצהוב - שיחה מקומית,,,,
https://www.mekomit.co.il/לאן-מועדות-פניו-של-השמאל-היהודי/,LocalCall,מוסי רז|דניאל בר-טל,www_mekomit_co_il_d79cd790d79f-d79ed795d7a2d793d795d7aa-d7a4d7a0d799d795-d7a9d79c-d794d7a9d79ed790d7.html,2020-4-26,לאן מועדות פניו של השמאל היהודי? - שיחה מקומית,,,,
https://www.mekomit.co.il/בן-יאיר-בביקור-אצל-משפחת-שמאסנה/,LocalCall,אורלי נוי,www_mekomit_co_il_d791d79f-d799d790d799d7a8-d791d791d799d7a7d795d7a8-d790d7a6d79c-d79ed7a9d7a4d797d7.html,2017-8-12,"היועמ""ש לשעבר: ""נתבע את ביתנו בשייח ג'ראח ונעבירו לדיירים הפלסטינים"" - שיחה מקומית",,,,
https://www.mekomit.co.il/stream/צוק-איתן-תמונה-אחת-ביום-2/,LocalCall,NOT AVAILABLE,www_mekomit_co_il_stream_d7a6d795d7a7-d790d799d7aad79f-d7aad79ed795d7a0d794-d790d797d7aa-d791d799d79_1.html,2015-8-2,"שנה לצוק איתן, תמונה ביום: בובות בתכריכים  - שיחה מקומית",,,,
https://www.mekomit.co.il/גף-הלפר-תנועת-החרם/,LocalCall,ליסה גולדמן,www_mekomit_co_il_d792d7a3-d794d79cd7a4d7a8-d7aad7a0d795d7a2d7aa-d794d797d7a8d79d_.html,2017-3-15,"כשאזרחים מלשינים על שמאלנים, והמשטרה מגיעה לבדוק - שיחה מקומית",,,,
https://www.mekomit.co.il/המהגר-ליברמן/,LocalCall,אורלי נוי,www_mekomit_co_il_d794d79ed794d792d7a8-d79cd799d791d7a8d79ed79f_.html,2017-3-13,האם המהגר ליברמן מוכן להיפרד גם מהקרקעות של הפלסטינים או רק מאזרחותם? - שיחה מקומית,,,,
https://www.mekomit.co.il/דו-קיום-של-דוברי-רוסית/,LocalCall,אדי ז'נסקר,www_mekomit_co_il_d793d795-d7a7d799d795d79d-d7a9d79c-d793d795d791d7a8d799-d7a8d795d7a1d799d7aa_.html,2015-9-1,לנהל מפגש דו-קיום יהודי-ערבי ברוסית - שיחה מקומית,,,,
https://www.mekomit.co.il/השאלה-היא-לא-אם-הנייה-בן-מוות-השאלה-אם-א/,LocalCall,אורלי נוי,www_mekomit_co_il_d794d7a9d790d79cd794-d794d799d790-d79cd790-d790d79d-d794d7a0d799d799d794-d791d79f-.html,2024-7-31,"השאלה היא לא אם הנייה ""בן מוות"", השאלה אם אנחנו בני חיים - שיחה מקומית",,,,
https://www.mekomit.co.il/ההסתדרות-חוגגת-מאה-שנה-של-החמצות/,LocalCall,יפעת סולל,www_mekomit_co_il_d794d794d7a1d7aad793d7a8d795d7aa-d797d795d792d792d7aa-d79ed790d794-d7a9d7a0d794-d7.html,2020-12-29,ההסתדרות חוגגת מאה שנה של החמצות - שיחה מקומית,,,,
https://www.mekomit.co.il/הריגתו-של-אחמד-חגאזי-מעוררת-קריאות-למר/,LocalCall,ודיע עואודה,www_mekomit_co_il_d794d7a8d799d792d7aad795-d7a9d79c-d790d797d79ed793-d797d792d790d796d799-d79ed7a2d7.html,2021-2-2,הריגתו של אחמד חג'אזי מעוררת קריאות למרי אזרחי - שיחה מקומית,,,,
https://www.mekomit.co.il/מחמד-אברהים-מעצר-מנהלי/,LocalCall,יואב חיפאווי,www_mekomit_co_il_d79ed797d79ed793-d790d791d7a8d794d799d79d-d79ed7a2d7a6d7a8-d79ed7a0d794d79cd799_.html,2017-1-23,על מה מוחזק אזרח ישראלי במעצר מנהלי למעלה משבעה חודשים? - שיחה מקומית,,,,
https://www.mekomit.co.il/צעירים-אתיופים-בקרית-מלאכי-באנו-לקנות/,LocalCall,מיכאל סולסברי-כורך,www_mekomit_co_il_d7a6d7a2d799d7a8d799d79d-d790d7aad799d795d7a4d799d79d-d791d7a7d7a8d799d7aa-d79ed79.html,2015-1-19,צעירים אתיופים בקרית מלאכי: באנו לקנות סיגריות והותקפנו קשות בידי שוטרים - שיחה מקומית,,,,
https://www.mekomit.co.il/הריסת-בתים-וואלגה/,LocalCall,אביב טטרסקי,www_mekomit_co_il_d794d7a8d799d7a1d7aa-d791d7aad799d79d-d795d795d790d79cd792d794_.html,2016-4-14,לראשונה: ישראל הרסה בתים בכפר שנותר מחוץ לחומת ההפרדה בירושלים - שיחה מקומית,,,,
https://www.mekomit.co.il/הוויכוח-על-חוק-החמץ-מתעלם-מהחולים/,LocalCall,מאיה דומן שפיטלניק,www_mekomit_co_il_d794d795d795d799d79bd795d797-d7a2d79c-d797d795d7a7-d794d797d79ed7a5-d79ed7aad7a2d7.html,2023-4-4,הוויכוח על חוק החמץ מתעלם מהחולים - שיחה מקומית,,,,
https://www.mekomit.co.il/ספר-זמן-להוראה/,LocalCall,גיל גרטל,www_mekomit_co_il_d7a1d7a4d7a8-d796d79ed79f-d79cd794d795d7a8d790d794_.html,2025-1-30,עזרו לנו להיות המורים שאנחנו אמורים וחולמים להיות - שיחה מקומית,,,,
https://www.mekomit.co.il/היערכות-פתחית-שנת-הלימודים/,LocalCall,גיל גרטל,www_mekomit_co_il_d794d799d7a2d7a8d79bd795d7aa-d7a4d7aad797d799d7aa-d7a9d7a0d7aa-d794d79cd799d79ed79.html,2024-8-22,ממשלת ההפקרה מציגה: מי לא ערוך לפתיחת שנת הלימודים - שיחה מקומית,,,,
https://www.mekomit.co.il/רבין-בפתח-תקווה/,LocalCall,כרמלה כהן שלומי,www_mekomit_co_il_d7a8d791d799d79f-d791d7a4d7aad797-d7aad7a7d795d795d794_.html,2017-10-31,השנה עצרת רבין שלי תהיה בפתח תקווה - שיחה מקומית,,,,
https://www.mekomit.co.il/איכות-ההוראה-בנסיגה/,LocalCall,גיל גרטל,www_mekomit_co_il_d790d799d79bd795d7aa-d794d794d795d7a8d790d794-d791d7a0d7a1d799d792d794_.html,2019-7-11,איכות ההוראה בסכנה כי ישראל מתייחסת להוראה כשמרטפות - שיחה מקומית,,,,
https://www.mekomit.co.il/צריך-לדמיים-מדינה-אחת/,LocalCall,אסעד גאנם,www_mekomit_co_il_d7a6d7a8d799d79a-d79cd793d79ed799d799d79d-d79ed793d799d7a0d794-d790d797d7aa_.html,2020-11-22,הדיבור על שתי מדינות הוא אשליה. צריך לדמיין מדינה אחת - שיחה מקומית,,,,
https://www.mekomit.co.il/מבקשי-מקלט-נובים-בישראל/,LocalCall,דרור שדות,www_mekomit_co_il_d79ed791d7a7d7a9d799-d79ed7a7d79cd798-d7a0d795d791d799d79d-d791d799d7a9d7a8d790d79.html,2017-11-1,"הנוּבּים, מבקשי המקלט השקופים בישראל - שיחה מקומית",,,,
https://www.mekomit.co.il/לוגיין-אל-הדלול/,LocalCall,רוואן כעביה,www_mekomit_co_il_d79cd795d792d799d799d79f-d790d79c-d794d793d79cd795d79c_.html,2019-6-16,הסופרג'יסטית הסעודית שבקשה להקים מקלט לנשים מואשמת בטרור - שיחה מקומית,,,,
https://www.mekomit.co.il/עומר-נזאל-מנהלי/,LocalCall,חגי מטר,www_mekomit_co_il_d7a2d795d79ed7a8-d7a0d796d790d79c-d79ed7a0d794d79cd799_.html,2016-4-28,הצבא שוקל להוציא צו מעצר מנהלי נגד עיתונאי פלסטיני שנעצר בגבול - שיחה מקומית,,,,
https://www.mekomit.co.il/בגץ-לא-הגן-על-החלשים-עכשיו-החלשים-לא-מג/,LocalCall,אורי וולטמן,www_mekomit_co_il_d791d792d7a5-d79cd790-d794d792d79f-d7a2d79c-d794d797d79cd7a9d799d79d-d7a2d79bd7a9d.html,2019-5-21,"בג""ץ לא הגן על החלשים, עכשיו החלשים לא מגנים עליו - שיחה מקומית",,,,
https://www.mekomit.co.il/במדינת-היהודים-שוויון-לאזרחים-הערבים/,LocalCall,עֻמר אלע'בארי,www_mekomit_co_il_d791d79ed793d799d7a0d7aa-d794d799d794d795d793d799d79d-d7a9d795d795d799d795d79f-d79.html,2016-1-20,במדינת היהודים שוויון לערבים הוא בלתי אפשרי בהגדרה - שיחה מקומית,,,,
https://www.mekomit.co.il/רון-חולדאי-ותקציבי-חינוך-לעניים/,LocalCall,שלום בוגוסלבסקי,www_mekomit_co_il_d7a8d795d79f-d797d795d79cd793d790d799-d795d7aad7a7d7a6d799d791d799-d797d799d7a0d79.html,2015-9-9,איך רון חולדאי נלחם על הזכות של תל אביב לקחת כסף מילדים עניים - שיחה מקומית,,,,
https://www.mekomit.co.il/בצל-המהומות-בערים-המעורבות-אסור-לברוח/,LocalCall,נועה לוי,www_mekomit_co_il_d791d7a6d79c-d794d79ed794d795d79ed795d7aa-d791d7a2d7a8d799d79d-d794d79ed7a2d795d7a.html,2021-5-17,"בצל המהומות בערים המעורבות, אסור לברוח מבעיית הג'נטריפיקציה - שיחה מקומית",,,,
https://www.mekomit.co.il/מה-הקשר-בין-עמנואל-רוזן-האלוף-במיל-ישר/,LocalCall,סבסטיאן בן דניאל (ג'ון בראון),www_mekomit_co_il_d79ed794-d794d7a7d7a9d7a8-d791d799d79f-d7a2d79ed7a0d795d790d79c-d7a8d795d796d79f-d.html,2016-10-18,"מה הקשר בין עמנואל רוזן, האלוף במיל' ישראל זיו והמשטר בדרום סודאן? - שיחה מקומית",,,,
