corpus_name,canonical_author_id,name_script,source,confidence,status
David Lehrer,david_lehrer,EN,spreadsheet_exact,1.0,accepted
David Sarna Galdi,david_sarna_galdi,EN,spreadsheet_exact,1.0,accepted
David Sheen,david_sheen,EN,spreadsheet_exact,1.0,accepted
David Shulman,david_shulman,EN,spreadsheet_exact,1.0,accepted
David Zonsheine,david_zonsheine,EN,spreadsheet_exact,1.0,accepted
Dean Issacharoff,dean_issacharoff,EN,spreadsheet_exact,1.0,accepted
Deborah Leter,deborah_leter,EN,spreadsheet_exact,1.0,accepted
Derek Davison,derek_davison,EN,spreadsheet_exact,1.0,accepted
Diana Alzeer,diana_alzeer,EN,spreadsheet_exact,1.0,accepted
Dikla Taylor-Sheinman,dikla_taylor_sheinman,EN,spreadsheet_exact,1.0,accepted
Dima Khalidi,dima_khalidi,EN,spreadsheet_exact,1.0,accepted
Dimi Reider,dimi_reider,EN,spreadsheet_exact,1.0,accepted
Dina Saeed,dina_saeed,EN,spreadsheet_exact,1.0,accepted
Doaa Albaz,doaa_albaz,EN,spreadsheet_exact,1.0,accepted
Dolev Rahat,dolev_rahat,EN,spreadsheet_exact,1.0,accepted
Don Futterman,don_futterman,EN,spreadsheet_exact,1.0,accepted
Dor Sandak,dor_sandak,EN,spreadsheet_exact,1.0,accepted
Dorit Naaman,dorit_naaman,EN,spreadsheet_exact,1.0,accepted
Doron Matza,doron_matza,EN,spreadsheet_exact,1.0,accepted
Dov Caller,dov_caller,EN,spreadsheet_exact,1.0,accepted
Dov Waxman,dov_waxman,EN,spreadsheet_exact,1.0,accepted
Dove Kent,dove_kent,EN,spreadsheet_exact,1.0,accepted
Dr. Clive Lipchin,dr_clive_lipchin,EN,spreadsheet_exact,1.0,accepted
Dr. Eléonore Merza Bronstein,dr_eléonore_merza_bronstein,EN,spreadsheet_exact,1.0,accepted
Dr. Evgeni Klauber,dr_evgeni_klauber,EN,spreadsheet_exact,1.0,accepted
Dr. Ishai Menuchin,dr_ishai_menuchin,EN,spreadsheet_exact,1.0,accepted
Dr. Naftali Kaminski,dr_naftali_kaminski,EN,spreadsheet_exact,1.0,accepted
Dr. Nimrod Luz,dr_nimrod_luz,EN,spreadsheet_exact,1.0,accepted
Dr. Shlomo Swirski,dr_shlomo_swirski,EN,spreadsheet_exact,1.0,accepted
Dror Etkes,dror_etkes,EN,spreadsheet_exact,1.0,accepted
Dror Feuer,dror_feuer,EN,spreadsheet_exact,1.0,accepted
Dror Sadot,dror_sadot,EN,spreadsheet_exact,1.0,accepted
Dror Ze’evi,dror_ze_evi,EN,spreadsheet_exact,1.0,accepted
Dubi Kanengisser,dubi_kanengisser,EN,spreadsheet_exact,1.0,accepted
Dáša Raimanová,dáša_raimanová,EN,spreadsheet_exact,1.0,accepted
Edan Ring,edan_ring,EN,spreadsheet_exact,1.0,accepted
Edi Zhensker,edi_zhensker,EN,spreadsheet_exact,1.0,accepted
Edo Konrad,edo_konrad,EN,spreadsheet_exact,1.0,accepted
Efrat Cohen-Bar,efrat_cohen_bar,EN,spreadsheet_exact,1.0,accepted
Eilat Maoz,eilat_maoz,EN,spreadsheet_exact,1.0,accepted
Einat Fishbain,einat_fishbain,EN,spreadsheet_exact,1.0,accepted
Einat Levi,einat_levi,EN,spreadsheet_exact,1.0,accepted
Eishton,eishton,EN,spreadsheet_exact,1.0,accepted
Eitan Bronstein Aparicio,eitan_bronstein_aparicio,EN,spreadsheet_exact,1.0,accepted
Eitan Grossman,eitan_grossman,EN,spreadsheet_exact,1.0,accepted
Eitan Kalinski,eitan_kalinski,EN,spreadsheet_exact,1.0,accepted
Eitay Mack*** (merge),eitay_mack_merge,EN,spreadsheet_exact,1.0,accepted
Eldad Brin,eldad_brin,EN,spreadsheet_exact,1.0,accepted
Eldad Levy,eldad_levy,EN,spreadsheet_exact,1.0,accepted
Elhanan Miller,elhanan_miller,EN,spreadsheet_exact,1.0,accepted
Eli Bitan,eli_bitan,EN,spreadsheet_exact,1.0,accepted
Eli Clifton,eli_clifton,EN,spreadsheet_exact,1.0,accepted
Eli Day,eli_day,EN,spreadsheet_exact,1.0,accepted
Eli Shmueli,eli_shmueli,EN,spreadsheet_exact,1.0,accepted
Eli Valley,eli_valley,EN,spreadsheet_exact,1.0,accepted
Elia Ayoub,elia_ayoub,EN,spreadsheet_exact,1.0,accepted
Eliana Fishman,eliana_fishman,EN,spreadsheet_exact,1.0,accepted
Elias Nawawieh,elias_nawawieh,EN,spreadsheet_exact,1.0,accepted
Eliaz Cohen,eliaz_cohen,EN,spreadsheet_exact,1.0,accepted
Elie Friedman,elie_friedman,EN,spreadsheet_exact,1.0,accepted
Elie Podeh,elie_podeh,EN,spreadsheet_exact,1.0,accepted
Elinor Davidov,elinor_davidov,EN,spreadsheet_exact,1.0,accepted
Elinor Sidi,elinor_sidi,EN,spreadsheet_exact,1.0,accepted
Eliot Cohen,eliot_cohen,EN,spreadsheet_exact,1.0,accepted
Elisha Baskin,elisha_baskin,EN,spreadsheet_exact,1.0,accepted
Elizabeth Tsurkov,elizabeth_tsurkov,EN,spreadsheet_exact,1.0,accepted
Ella Aphek,ella_aphek,EN,spreadsheet_exact,1.0,accepted
Ella Halpern-Matthews,ella_halpern_matthews,EN,spreadsheet_exact,1.0,accepted
Ellie Stern,ellie_stern,EN,spreadsheet_exact,1.0,accepted
Ellis Weintraub,ellis_weintraub,EN,spreadsheet_exact,1.0,accepted
Elsa Rassbach,elsa_rassbach,EN,spreadsheet_exact,1.0,accepted
Eléonore Bronstein,eléonore_bronstein,EN,spreadsheet_exact,1.0,accepted
Em Hilton,emily_hilton,EN,spreadsheet_exact,1.0,accepted
Emanual Yelin,emanual_yelin,EN,spreadsheet_exact,1.0,accepted
Emilio Dabed,emilio_dabed,EN,spreadsheet_exact,1.0,accepted
Emily Hilton,emily_hilton,EN,spreadsheet_exact,1.0,accepted
Emily Mayer,emily_mayer,EN,spreadsheet_exact,1.0,accepted
Emily Schaeffer,emily_schaeffer,EN,spreadsheet_exact,1.0,accepted
Emily Schaeffer Omer-Man,emily_schaeffer_omer_man,EN,spreadsheet_exact,1.0,accepted
Emma Goldberg,emma_goldberg,EN,spreadsheet_exact,1.0,accepted
Episode Transcript,episode_transcript,EN,spreadsheet_exact,1.0,accepted
Eran Tsidkyahu,eran_tsidkyahu,EN,spreadsheet_exact,1.0,accepted
Eric Yellin,eric_yellin,EN,spreadsheet_exact,1.0,accepted
Eyal Clyne,eyal_clyne,EN,spreadsheet_exact,1.0,accepted
Eyal Hareuveni,eyal_hareuveni,EN,spreadsheet_exact,1.0,accepted
Eyal Lurie-Pardes,eyal_lurie_pardes,EN,spreadsheet_exact,1.0,accepted
Eyal Sagiv,eyal_sagiv,EN,spreadsheet_exact,1.0,accepted
Ezra Oliff-Lieberman,ezra_oliff_lieberman,EN,spreadsheet_exact,1.0,accepted
Fadi O. Al-Naji,fadi_o_al_naji,EN,spreadsheet_exact,1.0,accepted
Fadi Shabita,fadi_shabita,EN,spreadsheet_exact,1.0,accepted
Fady Khoury,fady_khoury,EN,spreadsheet_exact,1.0,accepted
Faiz Abu Rmeleh,faiz_abu_rmeleh,EN,spreadsheet_exact,1.0,accepted
False Prophet Blog,false_prophet_blog,EN,spreadsheet_exact,1.0,accepted
Fatima AbdulKarim,fatima_abdulkarim,EN,spreadsheet_exact,1.0,accepted
Fayez Abu Hayeh,fayez_abu_hayeh,EN,spreadsheet_exact,1.0,accepted
Fida Jiryis,fida_jiryis,EN,spreadsheet_exact,1.0,accepted
Fidaa Shurrab,fidaa_shurrab,EN,spreadsheet_exact,1.0,accepted
Fiona Wright,fiona_wright,EN,spreadsheet_exact,1.0,accepted
Fr. Emmanuelle Awwad,fr_emmanuelle_awwad,EN,spreadsheet_exact,1.0,accepted
Frank Barat,frank_barat,EN,spreadsheet_exact,1.0,accepted
Frederick Hertz,frederick_hertz,EN,spreadsheet_exact,1.0,accepted
Frima (Merphie) Bubis,frima_merphie_bubis,EN,spreadsheet_exact,1.0,accepted
Gaby Goldman,gaby_goldman,EN,spreadsheet_exact,1.0,accepted
Gadi Algazi,gadi_algazi,EN,spreadsheet_exact,1.0,accepted
Gary Sick,gary_sick,EN,spreadsheet_exact,1.0,accepted
Gary Spedding,gary_spedding,EN,spreadsheet_exact,1.0,accepted
Gemma Oldman,gemma_oldman,EN,spreadsheet_exact,1.0,accepted
Georgia Gee,georgia_gee,EN,spreadsheet_exact,1.0,accepted
Gerard Horton,gerard_horton,EN,spreadsheet_exact,1.0,accepted
Gershom Gorenberg,gershom_gorenberg,EN,spreadsheet_exact,1.0,accepted
Gershon Baskin,gershon_baskin,EN,spreadsheet_exact,1.0,accepted
Gershon Shafir,gershon_shafir,EN,spreadsheet_exact,1.0,accepted
Ghada Ageel,ghada_ageel,EN,spreadsheet_exact,1.0,accepted
Ghada Al-Haddad,ghada_al_haddad,EN,spreadsheet_exact,1.0,accepted
Ghada Majadli,ghada_majadli,EN,spreadsheet_exact,1.0,accepted
Ghaida Amirah,ghaida_amirah,EN,spreadsheet_exact,1.0,accepted
Ghousoon Bisharat,ghousoon_bisharat,EN,spreadsheet_exact,1.0,accepted
Gidon Bromberg,gidon_bromberg,EN,spreadsheet_exact,1.0,accepted
Gil Gan Mor,gil_gan_mor,EN,spreadsheet_exact,1.0,accepted
Gil Gertel,gil_gertel,EN,spreadsheet_exact,1.0,accepted
Gil Hizi,gil_hizi,EN,spreadsheet_exact,1.0,accepted
Gil Rimon,gil_rimon,EN,spreadsheet_exact,1.0,accepted
Gilad Halpern,gilad_halpern,EN,spreadsheet_exact,1.0,accepted
Gilad Isaacs,gilad_isaacs,EN,spreadsheet_exact,1.0,accepted
Gillian Kennedy,gillian_kennedy,EN,spreadsheet_exact,1.0,accepted
Gordon Adams,gordon_adams,EN,spreadsheet_exact,1.0,accepted
Greg Thielmann,greg_thielmann,EN,spreadsheet_exact,1.0,accepted
Guevara Bader,guevara_bader,EN,spreadsheet_exact,1.0,accepted
