url,Source,Authors(Temp),filename,Date,Title,institutional author,translators,tags,page_type,_date_parsed,_authors,_word_count,_total_matches,_matched_terms,_term_TERM_002,_term_TERM_002_per1k,_term_TERM_005,_term_TERM_005_per1k,_term_TERM_011,_term_TERM_011_per1k,_term_TERM_014,_term_TERM_014_per1k,_term_TERM_010,_term_TERM_010_per1k,_term_TERM_007,_term_TERM_007_per1k,_term_TERM_004,_term_TERM_004_per1k,_term_TERM_013,_term_TERM_013_per1k,_term_TERM_017,_term_TERM_017_per1k,_term_TERM_001,_term_TERM_001_per1k,_term_TERM_018,_term_TERM_018_per1k,_term_TERM_012,_term_TERM_012_per1k,_term_TERM_019,_term_TERM_019_per1k,_term_TERM_015,_term_TERM_015_per1k,_term_TERM_003,_term_TERM_003_per1k,_term_TERM_016,_term_TERM_016_per1k,_term_TERM_009,_term_TERM_009_per1k,_term_TERM_006,_term_TERM_006_per1k,_term_TERM_008,_term_TERM_008_per1k
https://www.mekomit.co.il/המיתוס-על-מצדה-לא-ייפול-שנית/,LocalCall,חמי שיף,www_mekomit_co_il_d794d79ed799d7aad795d7a1-d7a2d79c-d79ed7a6d793d794-d79cd790-d799d799d7a4d795d79c-d.html,2024-9-22,המיתוס על מצדה לא ייפול שנית - שיחה מקומית,,,,,2024-09-22,חמי_שיף,1873,12,Zionism (12),,,12.0,6.4068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/הרחוב-הערבי-מתקומם-נגד-האלימות-קריאות/,LocalCall,סוהא עראף,www_mekomit_co_il_d794d7a8d797d795d791-d794d7a2d7a8d791d799-d79ed7aad7a7d795d79ed79d-d7a0d792d793-d7.html,2019-10-3,הרחוב הערבי מתקומם נגד האלימות: קריאות לחרם חברתי על העבריינים - שיחה מקומית,,,,,2019-10-03,suha_arraf,2441,17,BDS / Boycott (17),,,,,,,,,,,17.0,6.9644,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/לראשונה-הפגנת-נשים-במסגרת-אירועי-צעדת/,LocalCall,מירון רפופורט,www_mekomit_co_il_d79cd7a8d790d7a9d795d7a0d794-d794d7a4d792d7a0d7aa-d7a0d7a9d799d79d-d791d79ed7a1d79.html,2018-7-4,"לראשונה: הפגנת נשים במסגרת אירועי ""צעדת השיבה"" בעזה - שיחה מקומית",,,,,2018-07-04,meron_rapoport,821,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/stream/ועדת-האמת-לאחריות-החברה-הישראלית/,LocalCall,NOT AVAILABLE,www_mekomit_co_il_stream_d795d7a2d793d7aa-d794d790d79ed7aa-d79cd790d797d7a8d799d795d7aa-d794d797d791.html,2014-12-12,"פליטים ועקורים פלסטינים, לוחמי תש""ח ומומחים העידו בפני ""ועדת האמת לאחריות החברה הישראלית לנכבה"" - שיחה מקומית",,,,,2014-12-12,not_available,183,3,Nakba (3),,,,,,,,,,,,,,,,,,,3.0,16.3934,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/ישראל-מצנזרת-את-טוויטר/,LocalCall,מיכאל שפר עומר-מן,www_mekomit_co_il_d799d7a9d7a8d790d79c-d79ed7a6d7a0d796d7a8d7aa-d790d7aa-d798d795d795d799d798d7a8_.html,2016-8-9,כך מכפיפה ישראל את המדיה החברתית מחוץ לגבולותיה לצווי איסור פרסום - שיחה מקומית,,,,,2016-08-09,michael_schaeffer_omer_man,2241,2,Occupation (2),,,,,,,,,2.0,0.8925,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/נתן-תראל-השפה-היחידה-שאנחנו-מבינים/,LocalCall,נועם שיזף,www_mekomit_co_il_d7a0d7aad79f-d7aad7a8d790d79c-d794d7a9d7a4d794-d794d799d797d799d793d794-d7a9d790d7.html,2017-9-4,בלי עימות לא יבוא שלום: הספר שמנסה לשבור את הסטטוס קוו - שיחה מקומית,,,,,2017-09-04,noam_sheizaf,3100,12,"Occupation (4), Peace (8)",,,,,8.0,2.5806,,,4.0,1.2903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/אני-לא-צריכה-את-חוק-הלאום-כדי-שיזכיר-לי/,LocalCall,יסמין אבו פריחה,www_mekomit_co_il_d790d7a0d799-d79cd790-d7a6d7a8d799d79bd794-d790d7aa-d797d795d7a7-d794d79cd790d795d.html,2018-7-23,אני לא צריכה את חוק הלאום כדי שיזכיר לי שאני לא שווה - שיחה מקומית,,,,,2018-07-23,יסמין_אבו_פריחה,1259,2,Apartheid (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.5886,,,,,,,,
https://www.mekomit.co.il/11-שנים-למותו-אסופה-חדשה-למשורר-הפלסטינ/,LocalCall,בכר זועבי,www_mekomit_co_il_11-d7a9d7a0d799d79d-d79cd79ed795d7aad795-d790d7a1d795d7a4d794-d797d793d7a9d794-d79.html,2025-11-11,11 שנים למותו: אסופה חדשה למשורר הפלסטיני סמיח אל-קאסם - שיחה מקומית,,,,,2025-11-11,baker_zoubi,1910,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/עשרות-הפגינו-ביפו-בקריאה-לשחרורה-של-המ/,LocalCall,יהלי מרום,www_mekomit_co_il_d7a2d7a9d7a8d795d7aa-d794d7a4d792d799d7a0d795-d791d799d7a4d795-d791d7a7d7a8d799d79.html,2016-6-25,עשרות הפגינו ביפו בקריאה לשחרורה של המשוררת דארין טאטור - שיחה מקומית,,,,,2016-06-25,יהלי_מרום,1738,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/רמדאן-2021-הערבים-נוהרים-לחנויות-אבל-קוני/,LocalCall,בכר זועבי,www_mekomit_co_il_d7a8d79ed793d790d79f-2021-d794d7a2d7a8d791d799d79d-d7a0d795d794d7a8d799d79d-d79cd7.html,2021-4-17,"רמדאן 2021: הערבים נוהרים לחנויות, אבל קונים פחות - שיחה מקומית",,,,,2021-04-17,baker_zoubi,1765,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
